titulo,autor,ano,paginas,editora,rating,avaliacao,resenha,abandonos,relendo,lendo,querem_ler,leram,genero,male,female
Escrito Com o Sangue do Meu Coração,Diana Gabaldon,2020,896,Arqueiro,4.7,21,0,0,1,1,159,7,Drama / Ficção / Literatura Estrangeira / Romance ,6,94
A Princesa na Balada,Meg Cabot,2014,333,Galera,4.0,6,37,79,7,59,4,14," Mas, e se as outras meninas forem muito mais divertidas (e ainda por cima sexualmente experientes)? Michael continuará gostando dela? Ele seria capaz de trocá-la pelas garotas da faculdade?Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira ",1,99
Chore para O Céu,Anne Rice,1996,484,Rocco,4.1,264,18,31,6,10,437,497,Ficção / Literatura Estrangeira / Artes / Aventura / Crime / Crônicas / Drama / Entretenimento / História / Música / Romance / Suspense e Mistério / Erótico / LGBT / GLS ,26,74
O Livreiro,Pedro Herz,2017,240,Editora,4.2,58,3,0,0,2,121,71,"Administração / Biografia, Autobiografia, Memórias / Literatura Brasileira ",32,68
Garra,Angela Duckworth,2016,336,Intrínseca,4.2,267,25,11,0,107,1,351,Literatura Estrangeira / Negócios e Empreendedorismo ,37,63
A fé nos negócios,Dave Anderson,2012,195,Sextante,4.3,16,0,1,0,6,60,25, Você aprenderá: Seis princípios de Jesus e do rei Davi Quatro regras para maximizar seu tempo Como superar a principal causa do fracasso gerencial Cinco princípios determinantes para aumentar as suas habilidades interpessoais Quatro passos para formar uma equipe ,63,37
Como a música ficou grátis,Stephen Witt,2015,272,Intrínseca,4.4,230,14,4,0,45,454,317,"Biografia, Autobiografia, Memórias / Literatura Estrangeira ",59,41
Uma Farmácia para Alma,Osho,2006,160,Sextante,4.0,55,0,2,3,16,317,127," Organizado em um formato prático e fácil de usar, Uma farmácia para a alma aborda temas como:Estresse e tensão físicaResgate da autoconfiançaVitalidade física e emocionalMudança de humorSexualidadeAlimentação ",27,73
Os comparsas,Elmore Leonard ,2011,256,Rocco,3.5,15,2,1,0,1,24,19,Literatura Estrangeira / Romance policial ,71,29
"Francisco, o papa da esperança",José Laércio de Lima,2020,160,Gutenberg,0.0,0,0,0,0,1,1,0,"Biografia, Autobiografia, Memórias / Literatura Brasileira / Religião e Espiritualidade ",21,79
50 Ideias de Física Quântica,Joanne Baker,2015,216,Planeta,4.0,176,12,11,1,93,656,264,Literatura Estrangeira ,50,50
A Grande Gripe,John M. Barry,2020,608,Intrínseca,4.0,56,7,1,0,47,934,64,História Geral / Literatura Estrangeira / Medicina e Saúde ,28,72
A Bela e a Fera,Elizabeth Rudnick,2020,240,Universo,4.4,1,116,53,8,146,6,2,Fábula / Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,6,94
Raízes do Mal,Gwenda Bond,2019,304,Intrínseca,4.0,892,129,59,10,243,2,972,Ficção científica / Suspense e Mistério ,21,79
Culture Smart! França,Barry Tomalin,2013,168,Verus,2.9,9,0,0,0,0,7,10,Turismo e Viagens ,30,70
Mantenha o Seu Cérebro Vivo,Lawrence C. Katz,2000,142,Sextante,3.3,470,12,33,6,54,811,857,Bem estar e lazer / Medicina e Saúde / Autoajuda ,42,58
Quem acredita sempre alcança,Peter McWilliams,2006,110,Sextante,3.2,80,4,5,0,6,71,146," E tomará, feliz, as rédeas da sua própria vida!    ",11,89
Cidade das Cinzas,Cassandra Clare,2018,406,Galera,4.2,35,837,770,107,1,84,66," E Clary não pode deixar de se perguntar: será que as ironias de Jace são só uma forma de chamar atenção, ou também pode haver uma traição por trás de tanto mistério?Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Romance ",15,85
Atlas dos Lugares Sagrados,Colin Wilson,1996,194,Planeta,4.3,6,1,0,0,4,14,7, São diversas fotos áreas dos locais e imagens em close de tesouros antigos ,57,43
As Primaveras,Casimiro de Abreu,2011,200,Martin,3.8,281,12,7,1,18,204,521,"Literatura Brasileira / Poemas, poesias ",34,66
Box Trono de Vidro (Acompanha Brindes),Sarah J mass,2020,4606,Galera,4.8,32,0,0,0,15,87,31,Fantasia ,7,93
Sem você não é verão,Jenny Han,2019,240,Intrínseca,3.8,5,404,50,4,125,4,6,Literatura Estrangeira / Romance ,3,97
Unidos somos um,Pittacus Lore,2016,352,Intrínseca,4.4,2,104,6,6,100,4,3,Literatura Estrangeira / Romance ,33,67
A Suspeita,Nora Roberts,2016,224,HarperCollins,3.9,388,16,5,0,16,348,629, Até que ponto Roman será capaz de suportar viver um papel duplo para salvar seu amor de uma grande ameaça?Literatura Estrangeira / Romance ,3,97
A Vida Secreta Dos Nazistas,Paul Roland,2018,256,Universo,3.4,65,9,2,0,17,389,64,História / Literatura Estrangeira ,24,76
Uma Surpresa Na Primavera,Carrie Elks,2019,308,Verus,4.2,638,98,6,1,27,1,721,Ficção / Literatura Estrangeira / Romance ,1,99
Deus Reconhecerá os Seus: a História Secreta dos Cátaros,MARIA NAZARETH ALVIM DE BARROS ,2007,254,Rocco,3.9,7,1,3,0,6,58,13,""" ",52,48
Harry e Seus Fãs,Melissa Anelli,2011,368,Rocco,3.7,1,35,218,1,79,1,1,Literatura Estrangeira / Não-ficção ,27,73
O Monge Que Vendeu Sua Ferrari,Robin Sharma,2002,212,Verus,3.9,363,16,34,2,64,476,712,Ficção ,43,57
Playboy Irresistível,Christina Lauren,2013,360,Universo,4.3,4,109,44,13,99,2,8,Erótico / Ficção / Literatura Estrangeira / Romance ,2,98
Encontrada,Carina Rissi,2015,476,Verus,4.5,16,638,263,59,823,13,26,Romance / Literatura Brasileira / Chick-lit / Ficção ,1,99
"Batons, assassinatos e profetas",Mehmet Murat Somer ,2010,240,Rocco,3.1,14,3,1,0,1,32,23," A questão é: conseguirá ela desvendar o mistério sem desfazer suas unhas nesta trama que desafia a sobriedade do gênero policial, com pinceladas dignas de um filme de Almodóvar?  ",17,83
O Abandono da Fé,Toby Clements,2017,464,Rocco,4.3,33,4,0,0,2,167,25,Ficção / Literatura Estrangeira ,48,52
Canciones para Paula,Blue Jeans,2016,800,Editora,0.0,0,0,0,0,1,0,0,Infantojuvenil / Romance ,0,100
Glimmerglass,Jenna Black,2011,296,Universo,3.7,1,133,82,2,87,3,2,Fantasia ,6,94
Sweet,Tammara Webber,2015,322,Verus,4.2,1,54,18,1,28,1,1,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,1,99
Estrada Para a Paixão,Robyn Carr,2016,304,HarperCollins,3.7,114,10,1,1,6,187,140,Ficção / Literatura Estrangeira / Romance ,4,96
O Jogo da Mentira,Sara Shepard,2013,296,Rocco,4.1,771,40,36,3,58,2,1,Jovem adulto ,9,91
Tutor,Sue Hecker,2017,384,HarperCollins,4.0,290,34,19,4,33,556,382,Ficção / Literatura Brasileira / Romance ,2,98
Grana,Martin Amis,1993,412,Rocco,4.3,12,2,1,0,0,77,18,Literatura Estrangeira ,61,39
Os Criadores de Coincidências, Yoav Blum ,2017,320,Editora,4.0,1,134,46,0,93,2,1,Ficção / Literatura Estrangeira / Romance ,12,88
Cidade dos Ossos,Cassandra Clare,2018,476,Galera,4.2,50,1,2,305,3,91,118,Aventura / Fantasia / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Ficção / Pedagogia ,16,84
Água-Marinha,Alice Hoffman,2001,103,Rocco,3.5,60,2,1,0,3,153,82,"Quase no fim da infância, durante um verão que bate o record de calor, Helena e Clara aprendem que a vida pode tomar rumos imprevisíveis, que a amizade é para sempre e que a magia pode ser encontrada em lugares em que menos se esperaInfantil / Infantojuvenil ",9,91
"Linda, Sexy e Sarada",Brett Oteri,2012,136,Universo,4.0,1,0,0,0,0,5,1,Bem estar e lazer / Medicina e Saúde ,0,100
Cambio de juego,Nicolás Vidal,2017,139,Editora,0.0,0,0,0,0,0,2,0,Esportes ,100,0
O Último Guardião,Eoin Colfer,2013,367,Galera,4.3,344,13,3,0,12,761,604, Será que nosso anti-herói conseguirá a ajuda de certa capitã nesta missão?Infantojuvenil / Aventura / Ficção ,36,64
Trocando os Pés Pelas Mãos,Saul Bellow,1997,302,Rocco,3.5,6,0,1,0,1,15,11,Contos / Literatura Estrangeira ,57,43
História da Filosofia Medieval,Luciano de Crescenzo,2002,147,Rocco,3.8,16,2,1,0,1,14,27,""" ",63,37
A outra metade de Sarah,Lisa Genova,2019,400,Harpercollins,4.3,51,20,0,0,13,230,51,Drama / Literatura Estrangeira / Romance ,8,92
Uma história de silêncio,Lloyd Jones,2014,272,Rocco,5.0,1,1,0,0,0,30,1,"Biografia, Autobiografia, Memórias ",30,70
Amor Plus Size,Larissa Siriani,2016,280,Verus,4.3,755,107,1,2,29,1,831,Jovem adulto / Literatura Brasileira / Romance ,6,94
Hipnose para Iniciantes,William W. Hewitt,2009,160,Universo,3.6,18,0,3,2,14,156,37,Medicina e Saúde / Religião e Espiritualidade ,66,34
"Fala sério, irmão! / Fala sério, irmã!",Thalita Rebouças,2015,208,Rocco,4.0,477,14,9,4,41,630,807,Infantojuvenil ,4,96
Dungeons & Dragons - Monstros e Criaturas,Wizards of the Coast,2019,112,Editora,4.3,19,2,1,0,11,586,41,"  Geek TyrantFantasia / HQ, comics, mangá ",33,67
Como Escrever Textos Técnicos e Profissionais,Felipe Dintel,2011,88,Gutenberg,3.9,13,1,0,0,6,52,21,Comunicação / Didáticos / Técnico / Educação ,37,63
A última porta,Scott Cawthon,2020,336,Intrínseca,4.3,50,12,2,0,9,320,55,Aventura / Jogos / Literatura Estrangeira / Terror ,30,70
Blitz,David Trueba,2017,144,Tusquets,3.5,32,3,0,1,2,34,17,Ficção / Literatura Estrangeira / Romance ,39,61
De volta para o futuro,Kim Smith,2018,48,Intrínseca,4.5,78,7,1,0,2,644,108,"Aventura / Ficção científica / HQ, comics, mangá / Infantojuvenil ",20,80
A Morte da verdade,Michiko Kakutani,2018,272,Intrínseca,4.2,352,30,6,0,82,1,459,"Nesse cenário de descaso pelos fatos, da substituição da razão pela emoção e da corrosão da linguagem  que diminuem o próprio valor da verdade , o que pode acontecer com os Estados Unidos e com o restante do mundo?Ensaios / História / Literatura Estrangeira / Não-ficção / Política ",33,67
Unity,Oliver Bowden,2015,364,Galera,4.1,735,29,21,0,73,2,1,Fantasia / Ficção ,53,47
Uma Certa Crueldade,Sophie Hannah,2018,464,Rocco,3.5,43,6,1,0,1,192,56,Crime / Ficção / Literatura Estrangeira / Romance policial ,15,85
A startup enxuta,Eric Ries,2019,288,Sextante,4.2,808,42,81,14,440,2,1,Administração / Literatura Estrangeira / Negócios e Empreendedorismo ,65,35
Monstros Invisíveis,Chuck Palahniuk,2009,256,Rocco,4.2,541,24,23,3,35,1,907,"Drama / Ficção / Humor, Comédia ",44,56
Segredos de Uma Noite de Verão,Lisa Kleypas,2015,288,Arqueiro,4.2,5,315,71,11,156,4,7,""" Publishers WeeklyFicção / Literatura Estrangeira / Romance ",1,99
Histórias para Aquecer o Coração,Jack Canfield,2001,188,Sextante,3.9,908,19,21,3,46,503,1,Autoajuda / Contos / Jovem adulto ,15,85
"Óculos, aparelho e rockn'roll",Meg Haston,2012,304,Intrínseca,3.6,792,40,55,3,32,1,1,Literatura Estrangeira / Romance ,3,97
Crepúsculo: Graphic Novel,Stephenie Meyer,2010,224,Intrínseca,4.3,1,59,10,4,13,888,2,"HQ, comics, mangá / Literatura Estrangeira ",9,91
O Livro da Vida - Nova Versão Transformadora,Vários Autores,2016,1520,Sextante,4.8,16,0,4,0,57,190,24,Religião e Espiritualidade ,40,60
Co-opetição,Adam M. Brandenburger,1989,312,Rocco,3.0,1,0,0,0,5,14,5,"O Termo Co-opeticao se Refere a Uniao de Estrategias de Competicao com as de Cooperacao, Para Revolucionar a Teoria do Jogo Aplicada as Empresas  ",53,47
No Início Não Havia Bob,Meg Rosoff,2015,240,Galera,2.6,67,11,11,0,7,282,84,"  Publishers Weekly "" Jovem adulto ",11,89
O assassino cego,Margaret Atwood,2001,496,Rocco,4.2,94,7,7,0,20,562,142,Ficção / Literatura Estrangeira / Romance ,23,77
Veronika decide morir,Paulo Coelho,2009,288,Editora,0.0,0,0,1,0,1,0,0,Ficção / Literatura Brasileira / Romance ,100,0
Apaixonados,Lauren Kate,2013,181,Galera,3.9,9,180,355,15,318,11,18,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,6,94
A Menina que Roubava Livros,Markus Zusak,2013,480,Intrínseca,4.5,114,3,17,877,10,201,335,Ficção / Romance / Drama / Literatura Estrangeira ,16,84
A Garota do Penhasco,Lucinda Riley,2019,416,Arqueiro,4.4,2,160,43,2,135,4,3,Drama / Ficção / Literatura Estrangeira / Romance ,5,95
Mindfulness Para Uma Vida Melhor,Elias Farah Eduardo,2018,192,Sextante,3.6,13,0,2,0,9,710,17," Você também vai aprender a:· Reforçar sua capacidade de realização e administração do tempo· Fortalecer os relacionamentos por meio da empatia e da compaixão· Intensificar o vigor, o engajamento e a criatividade· Inspirar a inovação, a liderança, o trabalho em equipe e a éticaAutoajuda / Literatura Estrangeira ",16,84
Segredos Mortais,Robert Bryndza,2020,288,Gutenberg,4.2,175,29,1,0,14,708,163,Ficção / Literatura Estrangeira / Suspense e Mistério ,7,93
Ruínas do Tempo,Jess Walter,2013,364,Verus,3.6,156,7,16,1,17,359,219,Ficção / Literatura Estrangeira ,9,91
Inglês para o dia a dia,Eduardo Moraz,2010,126,Universo,3.8,4,0,1,0,0,6,5,"* Método de aprendizado eficaz e comprovado* Elabore frases e orações completas* Dias da semana, meses do ano e horas do dia* Dicas de pronúncia* Saudações e despedidas ",42,58
Bandeira e Lilás,John Berger,2003,194,Rocco,3.0,1,0,0,0,1,4,1,Romance ,30,70
Se Eu Ficar,Gayle Forman,2009,192,Rocco,3.8,28,1,1,52,1,21,54,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,7,93
Redenção Sombria,Tillie Cole,2020,420,The,4.6,90,11,0,0,12,524,49,Drama / Literatura Estrangeira / Romance ,10,90
Calafrio,Sandra Brown,2007,448,Rocco,4.2,347,33,3,1,5,665,505,Crime / Ficção / Literatura Estrangeira / Romance / Romance policial / Suspense e Mistério ,5,95
O último trem para Istambul,Ayse Kulin ,2010,336,Planeta,3.8,82,4,4,0,8,147,138,Ficção / Literatura Estrangeira ,15,85
Êxtase,Lauren Kate,2012,304,Editora,0.0,0,0,0,0,0,0,1, O céu não pode esperar mais!Fantasia ,0,100
Salva Por Um Cavalheiro,Stephanie Laurens,2017,352,HarperCollins,3.9,341,29,5,0,20,2,520,Ficção / Literatura Estrangeira / Romance ,4,96
O Monge e o Executivo,James C. Hunter,2004,144,Sextante,3.8,25,713,1,169,1,7,99,Administração / Autoajuda / Negócios e Empreendedorismo ,34,66
Mais que uma bruxa,Eva Ibbotson,2006,134,Rocco,3.6,15,0,0,0,0,29,28, Isso também não é mudar o mundo?Infantojuvenil ,25,75
Palácio da traição,Jason Matthews,2020,448,Editora,4.0,36,14,4,1,12,976,44,Crime / Literatura Estrangeira / Suspense e Mistério ,12,88
"Diário de Uma Garota Nada Popular - Vol. 6,5",Rachel Renée Russell,2014,272,Verus,3.6,301,5,13,1,21,412,643,Infantojuvenil / Literatura Estrangeira ,2,98
Tutankhamon,John Maitland,2000,181,Planeta,3.8,16,1,0,1,0,10,30,História ,30,70
Brilhantes,Marcus Sakey,2015,476,Galera,4.3,335,36,21,1,35,1,428,Fantasia / Ficção científica / Literatura Estrangeira ,22,78
O Grito Silencioso,Diane Hoh,2002,172,Rocco,3.9,111,0,3,1,3,50,222, e se não forem?Tradução: Cristina MendesInfantojuvenil / Suspense e Mistério ,16,84
Achados e Perdidos,Luiz Alfredo Garcia-Roza,2004,280,Planeta,3.8,284,16,5,0,10,161,509,Romance policial ,41,59
A sereia e o encantador de borboletas,Adriana Lisboa,2009,46,Rocco,0.0,0,0,0,0,0,0,0,Infantojuvenil ,0,0
Magia do Sangue,Nora Roberts,2015,288,Arqueiro,4.1,915,61,4,1,33,1,1,Fantasia / Ficção / Literatura Estrangeira / Romance ,3,97
Feito Homem,Norah Vincent,2006,302,Planeta,3.3,42,2,11,0,4,68,77,Sociologia ,24,76
O Irmão da Minha Melhor Amiga,J.S. Cooper / Helen Cooper,2016,208,HarperCollins,3.1,630,23,12,2,35,854,913,Erótico / Romance ,1,99
O Ventre dos Filósofos,Michel Onfray,1992,152,Rocco,4.2,5,0,0,0,0,41,13,Culinária e Gastronomia / Filosofia ,64,36
Confidências de Uma Ex-Popular,Ray Tavares,2019,434,Galera,4.3,589,93,8,0,31,1,633, Será que Renata vai conseguir superar seu passado e iniciar uma nova jornada mostrando uma nova versão de si mesma  ou insistirá em seus velhos erros?Ficção / Literatura Brasileira / Romance ,4,96
O Campo,Lynne McTaggart,2002,336,Rocco,4.4,42,2,5,1,38,214,56,Filosofia / Literatura Estrangeira / Medicina e Saúde / Não-ficção ,46,54
Os Crimes do Monograma,Sophie Hannah,2014,224,Nova,3.6,960,57,52,2,93,814,1,Literatura Estrangeira / Romance / Romance policial / Suspense e Mistério ,19,81
Fani em busca do final feliz,Paula Pimenta,2019,608,Gutenberg,4.6,13,345,284,83,593,8,24,Ficção / Infantojuvenil / Literatura Brasileira / Romance ,2,98
Einstein Para Distraídos,Allan Percy,2015,176,Sextante,3.6,139,6,7,0,29,397,206,"  Uma vez por dia, dê a si mesmo a liberdade de sonharAutoajuda / Didáticos / Técnico ",31,69
A Mente de Stephen Hawking,Daniel Smith,2016,240,Universo,4.0,34,5,2,2,14,3,76,"Biografia, Autobiografia, Memórias / Literatura Estrangeira ",29,71
Silêncio,Thich Nhat Hanh ,2018,160,HaperCollins,3.9,200,15,8,1,32,391,296,Bem estar e lazer / Medicina e Saúde / Não-ficção ,26,74
Os Arquivos Perdidos: O Despertar dos Legados,Pittacus Lore,2016,89,Intrínseca,4.0,266,14,0,1,3,323,381," Com coisas tão importantes em jogo, como decidir que caminho seguir?Ficção científica / Infantojuvenil ",33,67
Imutável,Jessica Brody,2020,448,Rocco,3.0,4,0,0,0,0,301,4,"""Ficção / Ficção científica / Jovem adulto / Literatura Estrangeira / Romance ",16,84
À Espreita,Paola Scott,2019,244,The,4.3,34,4,0,0,1,55,39,Mas será que eu conseguiria?Ficção / Literatura Brasileira / Romance ,5,95
Quadribol Através dos Séculos,J.K. Rowling ,2017,128,Rocco,3.9,19,334,196,18,335,12,37,Fantasia / Ficção / Infantojuvenil / Jogos / Literatura Estrangeira ,26,74
Beijos em Nova York,Catherine Rider,2020,240,Galera,3.9,318,61,2,0,26,1,242,Quem procura um romance agradável de férias ficará encantado com o romance de Rider  BooklistLiteratura Estrangeira / Romance ,4,96
A última vítima,Silmara Izidoro,2019,671,AllBook,4.4,32,7,0,0,3,54,38,Crime / Literatura Brasileira / Romance / Romance policial / Suspense e Mistério ,3,97
Como chegar ao SIM,Bruce Patton,2018,224,Sextante,4.1,47,4,0,1,26,588,66,Administração / Literatura Estrangeira / Negócios e Empreendedorismo ,36,64
Amor Para Corajosos,Luiz Felipe Pondé,2017,160,Planeta,3.5,482,48,35,0,79,836,692,Autoajuda / Ensaios / Filosofia / Não-ficção ,32,68
Não faça tempestade em copo d'água,Richard Carlson,1998,276,Rocco,3.5,348,11,34,8,60,436,742,Autoajuda ,26,74
O Salvador,J. R. Ward ,2019,528,Universo,4.5,365,42,1,0,19,989,420, ou voltará para a sua existência solitária de uma vez por todas?Fantasia / Ficção / Literatura Estrangeira / Romance ,6,94
Redenção,Börge Hellström,2011,352,Planeta,4.1,44,4,2,0,6,71,61,Crime / Ficção / Suspense e Mistério ,24,76
Sabor do Brasil,Alice Granato,2012,344,Sextante,3.8,4,0,0,1,1,27,3,"""Culinária e Gastronomia ",42,58
A Estrela da Meia-Noite,Marie Lu,2017,256,Rocco,4.3,850,73,16,0,56,1,1," Será que Adelina está preparada para se transformar na estrela da meia-noite e, finalmente, conhecer a paz?Distopia / Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ",13,87
Arte Como Terapia,Alain de Botton,2014,240,Intrínseca,4.1,147,7,7,3,72,571,202,Arquitetura e Decoração / Literatura Estrangeira ,30,70
Como organizar sua vida financeira,Gustavo Cerbasi,2015,160,Editora,4.0,1,67,48,6,237,2,1,"Após traçar seu perfil de consumo e investimento, você poderá passar para os tópicos mais específicos, dominando de uma vez por todas os assuntos que sempre considerou complexos, tais como: Como fazer a Declaração do Imposto de Renda Qual é a melhor maneira de administrar as dívidas Como utilizar o crédito a seu favor Quando vale a pena fazer seguros Quais são os melhores investimentosNegócios e Empreendedorismo ",42,58
Attack of the Fiend,Joseph Delaney,2009,576,Harper,4.0,12,0,0,0,1,4,24,Fantasia ,67,33
Adultos, Emma Jane Unsworth ,2020,400,Intrínseca,3.2,687,209,33,1,90,956,703,"Drama / Ficção / Humor, Comédia / Literatura Estrangeira / Romance ",11,89
O Baile da Vitória,Antonio Skármeta,2004,341,Planeta,3.1,20,1,1,0,2,21,37,Drama ,27,73
Efeito Manticore,Brasman,2012,396,Verus,4.3,238,15,7,1,15,834,359,""" ",58,42
O livro de arte (e mistérios...) do Gravity Falls,María Eugenia Blanco,2020,96,Universo,0.0,0,0,0,0,0,1,0,"O universo de Gravity Falls é a inspiração perfeita para estimular a criatividade e despertar o seu artista (maluco) interior! Como sabemos disso, preparamos uma edição especial repleta de atividades para todos os momentos do seu dia!Mergulhe nas profundezas da arte e do entretenimento conosco e divirta-se sem limites esboçando e pintando os desenhos, aprendendo técnicas artísticas secretas e curtindo junto aos seus personagens favoritos!Você vai encontrar neste livro:Ideias para criar seu próprio suéter, que nem os da Mabel;Monte suas próprias pulseiras de recortar e colar;Decifre códigos e use os alfabetos secretos de Gravity Falls para escrever suas próprias mensagens;Use sua imaginação para recriar diálogos famosos da série animada;Inspirações para bolar suas próprias invenções esquisitas, que nem as do Velho McGucket;Página para você dedicar especialmente ao seu animal de estimação, desenhando-o ou até mesmo elaborando uma música para ele;Faça sua contribuição para o livro de piadas do Tivô Stan;Espaços para você desenhar os objetos de que mais gosta na Cabana do Mistério  vale também encher de glitter, rabiscar gaticaturas e fazer colagens, bem ao estilo da Mabel!Artes / Entretenimento ",33,67
Guinness World Records 2017,Vários,2016,256,HarperCollins,4.3,10,3,0,0,4,97,14,"Nova edição do Guinness World Records, em que você pode encontrar recordes atualizados e fotos inéditas, descobrir a substância mais fedida, conhecer o explorador polar mais jovem, ver os pets mais talentosos de todo o planeta, saber tudo sobre o maior roubo de diamantes e muito mais!Almanaques ",43,57
A Guerra do Rock,Robert Muchamore,2017,320,Rocco,3.6,21,3,0,0,0,184,22,Ficção / Jovem adulto / Literatura Estrangeira ,15,85
Você Está Sendo Vigiado,Gregg Hurwitz,2012,272,Arqueiro,3.7,812,61,31,0,41,1,1,Suspense e Mistério ,21,79
As Cinco Feridas Emocionais,Lise Bourbeau,2017,176,Sextante,4.1,91,9,5,2,41,1,146,Autoajuda / Literatura Estrangeira ,15,85
Para Você,Paola Scott,2018,342,The,4.7,26,3,0,0,5,977,39,Literatura Brasileira / Romance ,8,92
A Misteriosa Sociedade Benedict e A Jornada Periculosa,Trenton Lee Stewart,2013,378,Galera,4.2,44,2,8,2,7,310,73," Mas, quando a nova amizade que cresce entre elas está ameaçada, será que vão conseguir passar no teste mais importante de todos?Literatura Estrangeira ",18,82
Arrowood,Mick Finlay,2018,384,HarperCollins,3.2,26,2,1,0,6,627,35,Ficção / Literatura Estrangeira / Suspense e Mistério ,19,81
Paixão ao Entardecer,Lisa Kleypas,2015,349,Arqueiro,4.4,4,192,19,9,58,3,7,Ficção / Literatura Estrangeira / Romance ,1,99
Amor de Salvação,Camilo Castelo Branco,2012,208,Martin,3.3,841,25,71,2,76,621,2,"""Ficção / Literatura Estrangeira / Romance ",18,82
Um Palmo Abaixo,Tibor Fischer ,2003,262,Rocco,3.9,21,2,2,1,1,45,33,Literatura Estrangeira / Romance ,34,66
O Assistente de Vampiro,Darren Shan,2001,176,Rocco,4.1,682,24,9,3,11,335,1,Literatura Estrangeira ,33,67
Quem ama literatura não estuda literatura,Joel Rufino dos Santos ,2008,199,Rocco,3.7,17,0,3,1,3,69,28," Ele defende que o estudo de literatura só será socialmente relevante no Brasil quando ele for feito com base em antropologia, sociologia, psicologia, história, teoria da comunicação e até economia ",33,67
O Conquistador,Almeida Faria,1990,132,Rocco,3.9,29,0,0,0,0,10,55, Rebelo ,36,64
Príncipe Lestat,Anne Rice,2015,507,Rocco,4.1,273,24,4,1,57,952,402,Ficção / Literatura Estrangeira / Romance / Terror ,22,78
A Bela e a Fera. Perdida em Um Livro. Pocket,Jennifer Donnelly,2019,304,Universo,4.6,10,1,1,0,2,12,3, Mas será que tudo nesse mundo é o que parece ser? Será que Bela conseguirá encontrar a sua casa? Ou a história acabará por dominá-la e nunca mais a deixará partir?Ficção / Literatura Estrangeira / Romance ,8,92
Use-Me,Kimberly Knight,2018,300,The,3.9,351,41,4,0,6,297,392,Erótico / Jovem adulto / Literatura Estrangeira / Romance ,1,99
A ERA DOURADA,Gore Vidal,2000,512,Rocco,3.9,11,0,3,1,0,16,22,"Aventura / Biografia, Autobiografia, Memórias / Crônicas / Drama / Ficção / História / Literatura Estrangeira / Romance ",49,51
A esperança é uma travessia,Laila Lalami,2010,184,Rocco,3.6,18,0,0,0,1,9,21,Ficção ,28,72
Abril Despedaçado,Ismail Kadaré,2004,208,Planeta,4.0,478,21,18,1,26,516,786,Ficção / Literatura Estrangeira / Romance ,40,60
Breve história de sete assassinatos,Marlon James,2017,736,Intrínseca,3.9,93,7,13,1,65,935,128,Literatura Estrangeira / Romance ,31,69
The Walking Dead,Jay Bonansinga,2015,308,Galera,4.0,467,15,9,1,28,1,725,Ficção ,40,60
1968: O Ano que Não Terminou,Zuenir Ventura,2008,288,Planeta,4.2,1,34,142,6,154,1,2," Além de ser uma peça de excelente jornalismo, um exemplo de texto brilhante, 1968 O ano que não terminou presta relevante serviço à revitalização da consciência democrática brasileiraLiteratura Brasileira ",35,65
A Garota do Penhasco,Lucinda Riley,2019,416,Editora,4.4,2,160,43,2,135,4,3,Drama / Ficção / Literatura Estrangeira / Romance ,5,95
Mundo das Flores,Johanna Basford,2019,80,Sextante,4.4,7,0,1,0,12,351,16,Uma aventura exuberante espera por você!Artes / Bem estar e lazer / Literatura Estrangeira ,12,88
Ele Me Ama,Fabíola Melo,2017,160,Editora,4.5,327,26,5,1,44,500,414,Religião e Espiritualidade ,3,97
O Segredo Judaico de Resolução de Problemas,Nilton Bonder,2010,134,Rocco,3.9,28,2,1,0,20,119,49,Religião e Espiritualidade ,53,47
"Confissões de uma garota linda, popular e (secretamente) infeliz",Thalita Rebouças,2019,256,Editora,4.1,500,54,11,1,34,1,557,Chick-lit / Jovem adulto / Literatura Brasileira ,4,96
As Maiores Civilizações da História,Pedro Silva,2008,96,Universo,3.3,26,2,2,0,2,37,40,História ,54,46
livro das mirações,Rocco,1984,345,Rocco,3.4,8,1,1,1,7,169,23,Religião e Espiritualidade ,57,43
A Tenda Vermelha,Anita Diamant,2001,304,Sextante,4.4,715,47,28,2,64,954,1, Ficção / Literatura Estrangeira / História / Religião e Espiritualidade / Romance ,7,93
O Fator Churchill,Boris Johnson,2015,496,Planeta,4.2,58,3,3,0,15,169,74,"THE TIMESBiografia, Autobiografia, Memórias / Literatura Estrangeira ",66,34
Apaixonada Por Você,A.C. Meyer,2015,272,Universo,4.1,1,82,16,5,46,1,2,Literatura Brasileira / Romance ,2,98
Treine seu cérebro para ser feliz,Teresa Aubele,2018,320,Universo,4.0,17,1,3,0,11,42,19,Autoajuda / Bem estar e lazer / Medicina e Saúde / Psicologia ,18,83
"Onde Existe Amor, Deus Aí Está",Leon Tolstói,2001,128,Verus,4.3,124,7,2,0,10,303,233,Contos ,42,58
